Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,47.060001,49.049999,47.009998,48.730000,44.876045,37442900
2019-02-04,48.619999,49.240002,48.240002,49.220001,45.327286,20905000
2019-02-05,49.180000,50.720001,49.180000,50.009998,46.054806,31641600
2019-02-06,49.950001,50.639999,49.820000,49.900002,46.244785,21647800
2019-02-07,49.500000,49.849998,48.680000,49.230000,45.623863,27825900
2019-02-08,48.770000,49.020000,48.009998,48.840000,45.262428,18851200
2019-02-11,49.020000,49.320000,48.580002,48.770000,45.197563,18004100
2019-02-12,49.360001,50.139999,49.270000,50.009998,46.346733,18050100
2019-02-13,50.130001,50.810001,50.000000,50.470001,46.773041,17712800
2019-02-14,50.410000,51.040001,50.349998,50.810001,47.088127,17545400
2019-02-15,51.250000,51.669998,51.090000,51.660000,47.875870,22520400
2019-02-19,51.349998,51.709999,51.340000,51.400002,47.634911,15611800
2019-02-20,51.630001,51.730000,51.060001,51.389999,47.625641,21607700
2019-02-21,51.320000,51.840000,51.209999,51.410000,47.644180,16162100
2019-02-22,52.700001,52.980000,52.060001,52.490002,48.645077,31934100
2019-02-25,53.060001,53.610001,52.860001,53.099998,49.210388,20711800
2019-02-26,53.009998,53.369999,52.910000,53.230000,49.330853,16082200
2019-02-27,52.759998,53.380001,52.509998,53.240002,49.340137,17590300
2019-02-28,52.919998,53.180000,52.810001,52.959999,49.080639,18388800
2019-03-01,53.439999,53.680000,52.889999,53.299999,49.395733,18359300
2019-03-04,53.750000,54.099998,53.209999,53.939999,49.988853,21706100
2019-03-05,53.849998,53.990002,53.110001,53.680000,49.747902,21057700
2019-03-06,53.630001,53.650002,52.939999,52.950001,49.071373,14740500
2019-03-07,52.770000,52.990002,52.360001,52.599998,48.747005,17803000
2019-03-08,51.970001,52.560001,51.700001,52.480000,48.635799,16793900
2019-03-11,52.880001,53.650002,52.570000,53.349998,49.442078,18963000
2019-03-12,53.340000,53.959999,53.180000,53.570000,49.645950,20782100
2019-03-13,54.000000,54.570000,53.650002,54.369999,50.387363,25522300
2019-03-14,54.299999,54.450001,53.330002,53.439999,49.525486,26647100
2019-03-15,53.680000,54.689999,53.680000,54.330002,50.350285,46512500
2019-03-18,54.419998,54.509998,53.869999,54.099998,50.137135,16274000
2019-03-19,54.470001,54.650002,54.000000,54.169998,50.202003,18274800
2019-03-20,54.060001,54.400002,53.610001,53.820000,49.877647,24325300
2019-03-21,53.919998,54.990002,53.840000,54.639999,50.637581,19127200
2019-03-22,54.400002,54.619999,53.209999,53.259998,49.358665,21438400
2019-03-25,52.970001,53.549999,52.380001,52.779999,48.913826,16971400
2019-03-26,53.320000,53.770000,53.040001,53.439999,49.525486,17724300
2019-03-27,53.590000,53.860001,52.939999,53.160000,49.265991,19656000
2019-03-28,53.250000,53.439999,52.770000,53.110001,49.219650,13607900
2019-03-29,53.799999,54.040001,53.480000,53.700001,49.766438,18736100
2019-04-01,54.340000,54.570000,54.099998,54.509998,50.517105,17830400
2019-04-02,54.529999,54.799999,54.230000,54.360001,50.378094,13704500
2019-04-03,55.029999,55.990002,54.889999,55.480000,51.416050,24552800
2019-04-04,55.270000,56.139999,55.270000,55.919998,51.823814,16520500
2019-04-05,55.750000,55.950001,54.869999,55.599998,51.527260,19268400
2019-04-08,55.279999,55.740002,55.200001,55.680000,51.601402,11758800
2019-04-09,55.349998,55.430000,54.900002,55.320000,51.267769,13339700
2019-04-10,55.320000,55.860001,55.320000,55.750000,51.666271,13084000
2019-04-11,55.759998,56.070000,55.630001,55.799999,51.712605,10845800
2019-04-12,56.209999,56.490002,55.840000,56.419998,52.287186,12910200
2019-04-15,56.459999,56.560001,55.919998,56.279999,52.157448,11676900
2019-04-16,56.660000,57.470001,56.070000,56.709999,52.555950,30301900
2019-04-17,58.439999,59.590000,58.119999,58.560001,54.270435,38788400
2019-04-18,58.709999,58.880001,58.119999,58.490002,54.205574,20464200
